STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1046099999,2022-01-02,69.786839,20.959444,4.87,"SORKJOSEN, NO",20.4,,14.3,,9999.9,,999.9,,5.5,,31.8,,34.0,45.1,21.2,*,19.4,*,99.99,"",999.9,001000
1046099999,2022-01-03,69.786839,20.959444,4.87,"SORKJOSEN, NO",17.9,14,10.1,14,9999.9,,999.9,,6.2,14,27.1,14,36.9,45.1,21.4,"",17.6,*,99.99,"",999.9,001000
1046099999,2022-01-04,69.786839,20.959444,4.87,"SORKJOSEN, NO",16.4,13,6.9,13,9999.9,,999.9,,6.0,12,17.8,12,21.0,999.9,17.6,*,15.8,*,99.99,"",999.9,001000
1046099999,2022-01-05,69.786839,20.959444,4.87,"SORKJOSEN, NO",17.4,15,11.8,15,9999.9,,999.9,,5.8,15,10.3,15,15.9,999.9,24.8,*,10.4,*,99.99,"",999.9,001000
1046099999,2022-01-06,69.786839,20.959444,4.87,"SORKJOSEN, NO",19.3,14,14.9,14,9999.9,,999.9,,5.7,14,3.6,14,8.9,999.9,26.6,*,14.0,*,99.99,"",999.9,001000
1046099999,2022-01-07,69.786839,20.959444,4.87,"SORKJOSEN, NO",12.3,14,6.2,14,9999.9,,999.9,,6.2,14,4.6,14,9.9,999.9,17.6,*,8.6,*,0.0,I,999.9,000000
1046099999,2022-01-09,69.786839,20.959444,4.87,"SORKJOSEN, NO",15.3,,7.7,,9999.9,,999.9,,6.2,,13.7,,15.9,999.9,15.8,*,14.0,*,0.0,I,999.9,000000
1046099999,2022-01-10,69.786839,20.959444,4.87,"SORKJOSEN, NO",16.2,13,7.5,13,9999.9,,999.9,,6.2,13,12.1,13,17.1,999.9,19.4,*,12.2,*,0.0,I,999.9,000000
1046099999,2022-01-11,69.786839,20.959444,4.87,"SORKJOSEN, NO",20.7,17,11.6,17,9999.9,,999.9,,6.2,17,14.8,17,24.1,999.9,35.6,*,6.8,*,0.0,I,999.9,000000
1046099999,2022-01-12,69.786839,20.959444,4.87,"SORKJOSEN, NO",36.7,15,27.9,15,9999.9,,999.9,,5.2,15,14.2,15,28.0,40.0,39.2,*,33.8,*,99.99,"",999.9,010000
1046099999,2022-01-13,69.786839,20.959444,4.87,"SORKJOSEN, NO",33.0,15,28.4,15,9999.9,,999.9,,2.9,15,10.7,15,13.0,22.9,35.6,*,30.2,*,99.99,"",999.9,011000
1046099999,2022-01-14,69.786839,20.959444,4.87,"SORKJOSEN, NO",35.5,15,28.4,15,9999.9,,999.9,,5.1,15,12.3,15,15.9,26.0,37.4,*,33.8,*,99.99,"",999.9,011000
1046099999,2022-01-16,69.786839,20.959444,4.87,"SORKJOSEN, NO",24.2,,21.2,,9999.9,,999.9,,4.9,,2.5,,4.1,999.9,24.8,*,23.0,*,99.99,"",999.9,001000
1046099999,2022-01-17,69.786839,20.959444,4.87,"SORKJOSEN, NO",27.2,14,20.4,14,9999.9,,999.9,,5.0,14,12.7,14,19.0,33.0,28.4,*,24.8,*,99.99,"",999.9,001000
1046099999,2022-01-18,69.786839,20.959444,4.87,"SORKJOSEN, NO",31.7,13,25.1,13,9999.9,,999.9,,5.6,13,10.0,13,15.9,999.9,37.4,*,26.6,*,99.99,"",999.9,011000
1046099999,2022-01-19,69.786839,20.959444,4.87,"SORKJOSEN, NO",33.7,12,26.5,12,9999.9,,999.9,,5.7,12,7.7,12,13.0,999.9,37.4,*,30.2,*,99.99,"",999.9,011000
1046099999,2022-01-20,69.786839,20.959444,4.87,"SORKJOSEN, NO",32.9,12,25.1,12,9999.9,,999.9,,4.8,12,14.2,12,19.0,28.0,35.6,*,30.2,*,99.99,"",999.9,011100
1046099999,2022-01-21,69.786839,20.959444,4.87,"SORKJOSEN, NO",24.7,14,19.3,14,9999.9,,999.9,,5.7,14,8.1,14,15.9,999.9,28.4,*,23.0,*,99.99,"",999.9,001000
1046099999,2022-01-23,69.786839,20.959444,4.87,"SORKJOSEN, NO",44.3,,31.4,,9999.9,,999.9,,6.2,,13.7,,25.1,44.1,51.8,*,37.4,*,99.99,"",999.9,010000
1046099999,2022-01-24,69.786839,20.959444,4.87,"SORKJOSEN, NO",30.3,15,24.7,15,9999.9,,999.9,,3.7,15,11.7,15,18.1,28.0,39.2,*,26.6,*,99.99,"",999.9,011000
1046099999,2022-01-25,69.786839,20.959444,4.87,"SORKJOSEN, NO",28.8,14,22.1,14,9999.9,,999.9,,4.4,14,11.6,14,15.9,24.1,30.2,*,26.6,*,99.99,"",999.9,001000
1046099999,2022-01-26,69.786839,20.959444,4.87,"SORKJOSEN, NO",23.7,,15.1,,9999.9,,999.9,,6.2,,9.4,,17.1,999.9,26.6,*,19.4,*,0.0,I,999.9,000000
1046099999,2022-01-27,69.786839,20.959444,4.87,"SORKJOSEN, NO",19.1,11,13.7,11,9999.9,,999.9,,5.3,11,12.3,11,15.9,999.9,21.2,*,17.6,*,99.99,"",999.9,001000
1046099999,2022-01-28,69.786839,20.959444,4.87,"SORKJOSEN, NO",23.4,10,18.1,10,9999.9,,999.9,,4.0,10,9.8,10,20.0,999.9,28.4,*,19.4,*,99.99,"",999.9,001000
1046099999,2022-01-30,69.786839,20.959444,4.87,"SORKJOSEN, NO",13.7,,9.1,,9999.9,,999.9,,6.2,,3.7,,8.9,999.9,19.4,*,6.8,*,0.0,I,999.9,000000
1046099999,2022-01-31,69.786839,20.959444,4.87,"SORKJOSEN, NO",18.7,15,7.4,15,9999.9,,999.9,,6.2,15,10.2,15,17.1,999.9,21.2,*,15.8,*,0.0,I,999.9,000000
1046099999,2022-02-01,69.786839,20.959444,4.87,"SORKJOSEN, NO",17.0,15,5.1,15,9999.9,,999.9,,5.9,15,15.7,15,20.0,999.9,19.4,*,14.0,*,99.99,"",999.9,001000
1046099999,2022-02-02,69.786839,20.959444,4.87,"SORKJOSEN, NO",13.0,,6.2,,9999.9,,999.9,,6.2,,8.3,,15.9,999.9,15.8,*,10.4,*,0.0,I,999.9,000000
1046099999,2022-02-03,69.786839,20.959444,4.87,"SORKJOSEN, NO",15.9,12,7.1,12,9999.9,,999.9,,6.2,12,10.8,12,14.0,999.9,17.6,*,14.0,*,0.0,I,999.9,000000
1046099999,2022-02-04,69.786839,20.959444,4.87,"SORKJOSEN, NO",15.0,13,7.4,13,9999.9,,999.9,,6.0,13,30.2,13,42.0,51.1,19.4,*,12.2,*,99.99,"",999.9,001000
1046099999,2022-02-06,69.786839,20.959444,4.87,"SORKJOSEN, NO",28.4,,15.4,,9999.9,,999.9,,6.2,,15.6,,21.0,999.9,9999.9,"",9999.9,"",0.0,I,999.9,000000
1046099999,2022-02-07,69.786839,20.959444,4.87,"SORKJOSEN, NO",21.9,12,13.4,12,9999.9,,999.9,,6.0,12,11.5,12,15.0,999.9,24.8,*,19.4,*,99.99,"",999.9,001000
1046099999,2022-02-08,69.786839,20.959444,4.87,"SORKJOSEN, NO",28.3,16,18.0,16,9999.9,,999.9,,6.2,16,17.5,16,32.1,42.0,30.2,*,23.0,*,0.0,I,999.9,000000
1046099999,2022-02-09,69.786839,20.959444,4.87,"SORKJOSEN, NO",21.6,13,11.9,13,9999.9,,999.9,,6.2,13,16.7,13,21.0,999.9,26.6,*,17.6,*,0.0,I,999.9,000000
1046099999,2022-02-10,69.786839,20.959444,4.87,"SORKJOSEN, NO",17.7,14,10.9,14,9999.9,,999.9,,5.9,14,14.2,14,18.1,999.9,19.4,*,15.8,*,99.99,"",999.9,001000
1046099999,2022-02-11,69.786839,20.959444,4.87,"SORKJOSEN, NO",28.7,13,23.0,13,9999.9,,999.9,,4.1,13,10.2,12,17.1,22.9,32.0,*,24.8,*,99.99,"",999.9,001000
1046099999,2022-02-13,69.786839,20.959444,4.87,"SORKJOSEN, NO",13.1,,5.3,,9999.9,,999.9,,6.2,,16.2,,18.1,999.9,17.6,*,8.6,*,0.0,I,999.9,000000
1046099999,2022-02-14,69.786839,20.959444,4.87,"SORKJOSEN, NO",30.5,13,22.6,13,9999.9,,999.9,,5.0,13,11.9,13,15.0,22.9,32.0,*,30.2,*,99.99,"",999.9,001000
1046099999,2022-02-15,69.786839,20.959444,4.87,"SORKJOSEN, NO",24.1,13,19.8,13,9999.9,,999.9,,5.8,13,6.7,13,12.0,999.9,28.4,*,17.6,*,99.99,"",999.9,001000
1046099999,2022-02-16,69.786839,20.959444,4.87,"SORKJOSEN, NO",10.4,16,6.8,16,9999.9,,999.9,,6.2,16,2.2,16,4.1,999.9,15.8,*,6.8,*,0.0,I,999.9,000000
1046099999,2022-02-17,69.786839,20.959444,4.87,"SORKJOSEN, NO",23.6,15,14.6,14,9999.9,,999.9,,6.2,15,11.5,15,21.0,999.9,26.6,*,8.6,*,0.0,I,999.9,000000
1046099999,2022-02-18,69.786839,20.959444,4.87,"SORKJOSEN, NO",28.4,16,19.3,16,9999.9,,999.9,,6.1,16,7.7,16,20.0,999.9,30.2,*,24.8,*,99.99,"",999.9,001000
1046099999,2022-02-20,69.786839,20.959444,4.87,"SORKJOSEN, NO",15.1,,9.5,,9999.9,,999.9,,6.2,,6.5,,11.1,999.9,17.6,*,8.6,"",0.0,I,999.9,000000
1046099999,2022-02-21,69.786839,20.959444,4.87,"SORKJOSEN, NO",17.0,15,8.0,15,9999.9,,999.9,,6.2,15,8.0,15,15.9,999.9,19.4,*,14.0,*,0.0,I,999.9,000000
1046099999,2022-02-22,69.786839,20.959444,4.87,"SORKJOSEN, NO",6.0,13,0.3,13,9999.9,,999.9,,6.2,13,2.7,13,7.0,999.9,10.4,*,1.4,*,0.0,I,999.9,100000
1046099999,2022-02-23,69.786839,20.959444,4.87,"SORKJOSEN, NO",14.7,15,4.4,15,9999.9,,999.9,,6.2,15,13.8,15,22.9,33.0,17.6,*,8.6,*,0.0,I,999.9,000000
1046099999,2022-02-24,69.786839,20.959444,4.87,"SORKJOSEN, NO",21.8,16,12.6,16,9999.9,,999.9,,6.1,16,5.9,16,13.0,22.9,26.6,*,12.2,*,99.99,"",999.9,001000
1046099999,2022-02-25,69.786839,20.959444,4.87,"SORKJOSEN, NO",24.5,16,21.1,16,9999.9,,999.9,,3.3,16,9.8,15,21.0,22.9,30.2,*,17.6,*,99.99,"",999.9,001000
1046099999,2022-02-27,69.786839,20.959444,4.87,"SORKJOSEN, NO",45.8,,31.7,,9999.9,,999.9,,5.4,,15.0,,17.1,33.0,50.0,*,39.2,*,99.99,"",999.9,010000
1046099999,2022-02-28,69.786839,20.959444,4.87,"SORKJOSEN, NO",38.7,15,26.0,15,9999.9,,999.9,,6.2,15,8.4,15,18.1,28.0,41.0,*,35.6,*,99.99,"",999.9,010000
1046099999,2022-03-01,69.786839,20.959444,4.87,"SORKJOSEN, NO",36.6,12,26.9,12,9999.9,,999.9,,6.2,12,4.9,12,13.0,999.9,41.0,*,35.6,*,0.0,I,999.9,000000
1046099999,2022-03-02,69.786839,20.959444,4.87,"SORKJOSEN, NO",36.2,16,29.5,16,9999.9,,999.9,,5.4,16,11.0,16,20.0,31.1,39.2,*,32.0,*,99.99,"",999.9,011000
1046099999,2022-03-03,69.786839,20.959444,4.87,"SORKJOSEN, NO",30.0,16,23.6,16,9999.9,,999.9,,4.7,16,12.8,16,18.1,28.0,32.0,*,26.6,*,99.99,"",999.9,001000
1046099999,2022-03-04,69.786839,20.959444,4.87,"SORKJOSEN, NO",27.9,11,19.4,11,9999.9,,999.9,,6.2,11,6.0,11,8.9,999.9,28.4,*,26.6,*,99.99,"",999.9,001000
1046099999,2022-03-06,69.786839,20.959444,4.87,"SORKJOSEN, NO",27.4,,19.9,,9999.9,,999.9,,6.2,,2.8,,8.0,999.9,33.8,*,23.0,*,0.0,I,999.9,000000
1046099999,2022-03-07,69.786839,20.959444,4.87,"SORKJOSEN, NO",31.0,14,23.8,14,9999.9,,999.9,,6.2,13,12.1,14,22.0,999.9,35.6,*,28.4,*,99.99,"",999.9,001000
1046099999,2022-03-08,69.786839,20.959444,4.87,"SORKJOSEN, NO",29.4,16,19.4,16,9999.9,,999.9,,6.2,16,6.4,16,15.0,999.9,33.8,*,26.6,*,0.0,I,999.9,000000
1046099999,2022-03-09,69.786839,20.959444,4.87,"SORKJOSEN, NO",26.0,15,15.4,15,9999.9,,999.9,,6.2,15,17.4,15,21.0,999.9,28.4,*,21.2,*,0.0,I,999.9,000000
